Athlete,W-L,L,ERA,G,GS,IP,Outs,H,SO,BB,ER,HR,B/AVG,HP,CG,SHO,SV,B,S,WP,
"Alexander-Bennett, O",0,1,4.2,3,1,3.1,10,5,2,4,2,0,0.417,1,0,0,0,31,37,0,Yes
"Binford, A",1,1,5.73,3,0,3.2,11,5,4,2,3,0,0.333,1,0,0,0,29,44,0,Yes
"Corrick, G",4,1,2.33,7,4,33,99,28,39,12,11,3,0.23,2,2,0,0,212,406,2,Yes
"Faraimo, M",1,3,3.68,5,3,19,57,25,14,11,10,1,0.309,1,1,0,0,146,251,1,Yes
"Fouts, M",0,1,2.72,8,3,18,54,19,12,3,7,3,0.268,1,0,0,3,94,194,1,Yes
"Garcia, R",4,2,1.88,8,4,37.1,112,21,35,9,10,2,0.16,4,3,1,0,215,372,1,Yes
"Gottshall, P",0,2,7.64,5,1,7.1,22,11,1,3,8,2,0.367,0,0,0,0,38,83,0,Yes
"Kennedy, E",0,0,7,2,0,1,3,1,0,4,1,0,0.25,0,0,0,0,20,15,0,Yes
"Kilfoyl, L",2,1,2.03,5,2,20.2,62,21,15,8,6,1,0.273,1,1,0,1,137,224,0,Yes
"Landry, S",0,0,4,4,2,7,21,8,7,4,4,0,0.267,2,0,0,0,65,94,1,Yes
"Lemley, E",0,3,5.56,5,3,11.1,34,12,7,5,9,1,0.279,1,0,0,0,82,122,2,Yes
"Mazón, M",0,0,2.86,2,1,7.1,22,13,7,2,3,1,0.371,2,0,0,0,50,80,0,Yes
"McQuillin, T",1,1,5.63,5,3,13.2,41,18,7,11,11,3,0.316,2,0,0,2,120,186,0,Yes
"Netz, D",0,0,21,1,0,0.2,2,3,0,1,2,1,0.6,0,0,0,0,11,16,0,Yes
"Ocasio, A",2,0,1.48,5,3,23.2,71,23,11,7,5,2,0.261,4,1,1,0,140,219,0,Yes
"Ricketts, K",2,0,1.56,7,4,27,81,25,9,2,6,2,0.243,6,0,0,0,110,297,3,Yes
"Vawter, A",0,2,5.78,5,2,13.1,40,16,6,2,11,1,0.314,0,0,0,2,77,149,1,Yes
"Willis, S",2,1,4.2,6,2,15,45,18,8,1,9,2,0.286,0,0,0,0,97,170,0,Yes
