Athlete,G,GS,PA,AB,AVG,OBP,SLG%,OPS,R,H,1B,2B,3B,HR,RBI,BB,HP,SO,TB,SF,SH,SB,CS
"Allchin, J",7,7,24,21,0.333,0.375,0.333,0.708,3,7,7,0,0,0,1,0,2,4,7,1,0,0,0
"Andrews, A",9,9,24,23,0.261,0.292,0.304,0.596,0,6,5,1,0,0,1,1,0,1,7,0,0,2,0
"Bates, S",8,7,16,13,0.077,0.143,0.077,0.22,1,1,1,0,0,0,0,0,1,1,1,0,2,0,0
"Binford, A",7,3,14,11,0.091,0.286,0.182,0.468,3,1,0,1,0,0,1,2,1,5,2,0,0,0,0
"Briggs, C",10,8,24,21,0.333,0.391,0.333,0.724,2,7,7,0,0,0,0,2,0,3,7,0,1,0,0
"Clark, M",8,7,21,20,0.1,0.143,0.15,0.293,1,2,1,1,0,0,0,0,1,4,3,0,0,0,1
"Coffel, E",9,9,32,23,0.304,0.484,0.696,1.18,9,7,3,1,1,2,8,4,4,1,16,0,1,0,0
"Coffey, D",10,10,38,32,0.344,0.447,0.438,0.885,8,11,10,0,0,1,2,6,0,4,14,0,0,1,0
"Dayton, B",10,10,33,30,0.233,0.281,0.333,0.614,4,7,6,0,0,1,2,2,0,12,10,0,1,0,0
"Edenfield, M",5,0,6,6,0.167,0.167,0.333,0.5,0,1,0,1,0,0,1,0,0,3,2,0,0,0,0
"Edwards, T",8,8,26,24,0.25,0.28,0.375,0.655,1,6,3,3,0,0,1,1,0,4,9,0,1,0,0
"Ellis, B",5,1,7,5,0,0.286,0,0.286,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0
"Falby, K",8,7,18,17,0.235,0.278,0.235,0.513,0,4,4,0,0,0,1,1,0,6,4,0,0,1,0
"Flippen, H",8,8,29,25,0.16,0.222,0.16,0.382,0,4,4,0,0,0,0,2,0,3,4,0,2,0,0
"Garcia, R",8,7,28,27,0.259,0.286,0.481,0.767,4,7,3,3,0,1,5,1,0,1,13,0,0,1,0
"Gibson Whorton, D",10,10,33,28,0.321,0.424,0.5,0.924,1,9,6,2,0,1,5,5,0,5,14,0,0,0,0
"Gold, A",10,10,35,23,0.174,0.457,0.217,0.674,3,4,3,1,0,0,3,5,7,4,5,0,0,0,0
"Harding, K",5,4,11,9,0.111,0.273,0.111,0.384,1,1,1,0,0,0,0,2,0,4,1,0,0,0,0
"Hayward, V",7,7,22,21,0.333,0.364,0.429,0.793,2,7,5,2,0,0,2,0,1,2,9,0,0,1,0
"Iakopo, M",7,5,18,17,0.176,0.176,0.235,0.411,1,3,2,1,0,0,2,0,0,5,4,0,1,0,1
"Jacobsen, C",9,8,25,25,0.08,0.08,0.12,0.2,0,2,1,1,0,0,3,0,0,10,3,0,0,0,0
"Jaquish, S",4,2,6,6,0.167,0.167,0.167,0.334,0,1,1,0,0,0,0,0,0,3,1,0,0,0,0
"Jennings, T",7,7,26,25,0.24,0.269,0.44,0.709,3,6,3,2,0,1,5,1,0,5,11,0,0,0,0
"Klingler, B",10,10,35,34,0.324,0.324,0.382,0.706,1,11,9,2,0,0,4,0,0,1,13,0,1,0,0
"Kowalik, K",10,10,38,35,0.486,0.486,0.771,1.257,7,17,12,2,1,2,11,1,0,2,27,1,1,0,0
"Leach, A",8,8,30,26,0.269,0.345,0.462,0.807,4,7,4,2,0,1,4,3,0,7,12,0,1,0,0
"Lorenz, A",8,8,33,27,0.296,0.424,0.444,0.868,8,8,6,1,0,1,3,6,0,3,12,0,0,0,0
"McKinney, S",10,10,35,32,0.219,0.242,0.281,0.523,3,7,5,2,0,0,5,1,0,6,9,0,2,0,0
"McMillan, C",6,3,11,10,0.3,0.364,0.3,0.664,1,3,3,0,0,0,1,1,0,3,3,0,0,0,0
"Mulipola, D",8,8,24,23,0.304,0.333,0.435,0.768,2,7,6,0,0,1,4,1,0,3,10,0,0,0,0
"Netz, D",9,9,28,23,0.304,0.429,0.478,0.907,7,7,3,4,0,0,0,5,0,3,11,0,0,0,0
"Newland, A",6,1,8,7,0.143,0.25,0.143,0.393,1,1,1,0,0,0,1,1,0,1,1,0,0,0,0
"Nickles-Camarena, B",8,8,26,24,0.25,0.308,0.292,0.6,1,6,5,1,0,0,2,2,0,2,7,0,0,1,0
"Ocasio, A",6,4,17,16,0.438,0.471,0.5,0.971,2,7,6,1,0,0,1,1,0,4,8,0,0,0,0
"Otis, K",10,10,36,28,0.25,0.417,0.464,0.881,6,7,4,1,1,1,3,7,1,6,13,0,0,0,0
"Palacios, Sh",9,9,27,23,0.217,0.296,0.348,0.644,4,5,4,0,0,1,3,3,0,3,8,1,0,0,0
"Roberts, J",5,4,10,10,0.1,0.1,0.1,0.2,0,1,1,0,0,0,0,0,0,8,1,0,0,0,0
"Romero, Si",10,10,35,31,0.29,0.333,0.581,0.914,6,9,4,3,0,2,7,2,0,6,18,0,2,0,0
"Romero, Sy",10,10,32,29,0.345,0.406,0.552,0.958,3,10,7,1,1,1,5,2,1,1,16,0,0,1,0
"Sacco, S",10,10,34,28,0.286,0.394,0.286,0.68,2,8,8,0,0,0,3,5,0,11,8,0,1,0,0
"Sinicki, P",10,10,29,22,0.227,0.414,0.364,0.778,4,5,2,3,0,0,2,4,3,5,8,0,0,1,0
"Urtez, A",8,8,23,16,0.313,0.455,0.563,1.018,3,5,3,1,0,1,4,3,2,2,9,1,1,0,0
"Vidales, T",10,10,36,35,0.229,0.25,0.429,0.679,3,8,5,1,0,2,3,1,0,5,15,0,0,0,0
"Warren, J",8,8,29,27,0.481,0.517,0.889,1.406,5,13,8,2,0,3,8,2,0,2,24,0,0,0,0
"Willis, S",2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Wisz, D",8,8,28,25,0.32,0.393,0.64,1.033,5,8,4,2,0,2,4,3,0,4,16,0,0,1,0
"Zerkle, M",10,10,37,31,0.258,0.343,0.258,0.601,2,8,8,0,0,0,3,2,2,4,8,0,2,0,0
